Subject,List,FirstorSecond,Experiment,Sentence,Picture,Accuracy,RT
37,1,2,1,Blank,Gray,1,595
37,1,2,1,Blank,Color,1,579.5
37,1,2,1,Color,Color,1,534
37,1,2,1,Color,Gray,1,651.5
39,2,2,1,Blank,Gray,1,464
39,2,2,1,Blank,Color,1,483
39,2,2,1,Color,Color,1,497
39,2,2,1,Color,Gray,1,548.5
41,3,1,1,Blank,Gray,1,1222
41,3,1,1,Blank,Color,1,1016.5
41,3,1,1,Color,Color,1,934
41,3,1,1,Color,Gray,1,1037.5
43,4,2,1,Blank,Gray,1,507.5
43,4,2,1,Blank,Color,1,553.5
43,4,2,1,Color,Color,1,600
43,4,2,1,Color,Gray,1,685
45,1,1,1,Blank,Gray,1,785
45,1,1,1,Blank,Color,1,839
45,1,1,1,Color,Color,1,860
45,1,1,1,Color,Gray,1,690.5
47,2,2,1,Blank,Gray,1,556.5
47,2,2,1,Blank,Color,1,603.5
47,2,2,1,Color,Color,1,571
47,2,2,1,Color,Gray,1,645.5
49,3,1,1,Blank,Gray,1,814.5
49,3,1,1,Blank,Color,0.916666667,783
49,3,1,1,Color,Color,1,839
49,3,1,1,Color,Gray,1,816
51,4,2,1,Blank,Gray,1,1059
51,4,2,1,Blank,Color,1,1110
51,4,2,1,Color,Color,1,1087.5
51,4,2,1,Color,Gray,1,1351
53,1,2,1,Blank,Gray,1,1536
53,1,2,1,Blank,Color,1,1509
53,1,2,1,Color,Color,1,1380
53,1,2,1,Color,Gray,1,1558.5
55,2,2,1,Blank,Gray,1,1767
55,2,2,1,Blank,Color,1,1765.5
55,2,2,1,Color,Color,0.916666667,1592
55,2,2,1,Color,Gray,0.916666667,1372
57,3,1,1,Blank,Gray,1,537
57,3,1,1,Blank,Color,0.916666667,515
57,3,1,1,Color,Color,0.916666667,590
57,3,1,1,Color,Gray,1,591.5
59,4,1,1,Blank,Gray,0.916666667,743
59,4,1,1,Blank,Color,0.916666667,917
59,4,1,1,Color,Color,1,895.5
59,4,1,1,Color,Gray,1,742
61,1,1,1,Blank,Gray,1,758
61,1,1,1,Blank,Color,1,667
61,1,1,1,Color,Color,1,775.5
61,1,1,1,Color,Gray,0.916666667,734
63,2,2,1,Blank,Gray,1,673.5
63,2,2,1,Blank,Color,1,684.5
63,2,2,1,Color,Color,1,642
63,2,2,1,Color,Gray,1,823
65,3,2,1,Blank,Gray,1,587
65,3,2,1,Blank,Color,1,632
65,3,2,1,Color,Color,1,602
65,3,2,1,Color,Gray,1,730.5
67,4,1,1,Blank,Gray,1,1029.5
67,4,1,1,Blank,Color,1,1065.5
67,4,1,1,Color,Color,1,1283.5
67,4,1,1,Color,Gray,0.916666667,1097
69,1,2,1,Blank,Gray,1,570.5
69,1,2,1,Blank,Color,1,519
69,1,2,1,Color,Color,1,523
69,1,2,1,Color,Gray,1,599.5
71,2,2,1,Blank,Gray,1,895
71,2,2,1,Blank,Color,0.916666667,1362
71,2,2,1,Color,Color,0.916666667,717
71,2,2,1,Color,Gray,0.916666667,1257
73,3,2,1,Blank,Gray,1,1186.5
73,3,2,1,Blank,Color,1,1125.5
73,3,2,1,Color,Color,1,1279.5
73,3,2,1,Color,Gray,1,1255
75,4,2,1,Blank,Gray,1,743.5
75,4,2,1,Blank,Color,1,818
75,4,2,1,Color,Color,1,838.5
75,4,2,1,Color,Gray,1,1026
77,1,1,1,Blank,Gray,0.916666667,791
77,1,1,1,Blank,Color,1,804
77,1,1,1,Color,Color,1,739.5
77,1,1,1,Color,Gray,0.916666667,803
79,2,1,1,Blank,Gray,1,1689
79,2,1,1,Blank,Color,1,1195.5
79,2,1,1,Color,Color,1,726.5
79,2,1,1,Color,Gray,1,1094.5
81,3,2,1,Blank,Gray,1,806.5
81,3,2,1,Blank,Color,1,782
81,3,2,1,Color,Color,1,1050.5
81,3,2,1,Color,Gray,1,1135.5
83,4,2,1,Blank,Gray,0.916666667,911
83,4,2,1,Blank,Color,1,932.5
83,4,2,1,Color,Color,1,1045
83,4,2,1,Color,Gray,0.916666667,1163
85,1,2,1,Blank,Gray,0.916666667,733
85,1,2,1,Blank,Color,1,919
85,1,2,1,Color,Color,1,847
85,1,2,1,Color,Gray,1,1101
87,2,2,1,Blank,Gray,1,860
87,2,2,1,Blank,Color,1,959
87,2,2,1,Color,Color,1,879.5
87,2,2,1,Color,Gray,1,945.5
89,3,2,1,Blank,Gray,1,511.5
89,3,2,1,Blank,Color,1,525
89,3,2,1,Color,Color,1,540
89,3,2,1,Color,Gray,0.916666667,681
91,4,2,1,Blank,Gray,0.916666667,599
91,4,2,1,Blank,Color,1,440.5
91,4,2,1,Color,Color,1,472
91,4,2,1,Color,Gray,0.833333333,646
93,1,1,1,Blank,Gray,0.833333333,575
93,1,1,1,Blank,Color,1,582.5
93,1,1,1,Color,Color,1,546.5
93,1,1,1,Color,Gray,0.833333333,721
95,2,2,1,Blank,Gray,1,639
95,2,2,1,Blank,Color,1,867.5
95,2,2,1,Color,Color,1,641
95,2,2,1,Color,Gray,1,746
97,3,2,1,Blank,Gray,1,836.5
97,3,2,1,Blank,Color,1,873
97,3,2,1,Color,Color,1,779
97,3,2,1,Color,Gray,1,1471
99,4,1,1,Blank,Gray,1,1170
99,4,1,1,Blank,Color,1,1082
99,4,1,1,Color,Color,1,1173
99,4,1,1,Color,Gray,1,1257
101,1,1,1,Blank,Gray,1,728
101,1,1,1,Blank,Color,1,776.5
101,1,1,1,Color,Color,1,669
101,1,1,1,Color,Gray,0.916666667,784
103,2,2,1,Blank,Gray,1,851
103,2,2,1,Blank,Color,1,787.5
103,2,2,1,Color,Color,1,640.5
103,2,2,1,Color,Gray,0.916666667,1080
105,3,2,1,Blank,Gray,1,1366.5
105,3,2,1,Blank,Color,0.916666667,1793
105,3,2,1,Color,Color,0.916666667,1462
105,3,2,1,Color,Gray,1,1495.5
107,4,1,1,Blank,Gray,1,1037.5
107,4,1,1,Blank,Color,1,894.5
107,4,1,1,Color,Color,1,1167
107,4,1,1,Color,Gray,0.916666667,1443
111,2,2,1,Blank,Gray,1,966.5
111,2,2,1,Blank,Color,0.916666667,1280
111,2,2,1,Color,Color,1,1052.5
111,2,2,1,Color,Gray,0.666666667,1137
113,3,2,1,Blank,Gray,0.916666667,539
113,3,2,1,Blank,Color,1,515
113,3,2,1,Color,Color,1,515
113,3,2,1,Color,Gray,1,606
115,4,1,1,Blank,Gray,1,577
115,4,1,1,Blank,Color,1,736.5
115,4,1,1,Color,Color,1,875.5
115,4,1,1,Color,Gray,0.916666667,835
117,1,2,1,Blank,Gray,1,1357
117,1,2,1,Blank,Color,1,1310
117,1,2,1,Color,Color,1,1121.5
117,1,2,1,Color,Gray,1,1456
119,2,1,1,Blank,Gray,1,649.5
119,2,1,1,Blank,Color,1,629
119,2,1,1,Color,Color,0.916666667,696
119,2,1,1,Color,Gray,0.916666667,703
123,4,1,1,Blank,Gray,1,669
123,4,1,1,Blank,Color,1,642.5
123,4,1,1,Color,Color,1,681.5
123,4,1,1,Color,Gray,1,816.5
125,1,1,1,Blank,Gray,1,841.5
125,1,1,1,Blank,Color,1,993.5
125,1,1,1,Color,Color,0.916666667,623
125,1,1,1,Color,Gray,1,872
129,3,1,1,Blank,Gray,1,1259.5
129,3,1,1,Blank,Color,1,1337
129,3,1,1,Color,Color,0.833333333,1377.5
129,3,1,1,Color,Gray,1,1196
131,4,1,1,Blank,Gray,0.916666667,597
131,4,1,1,Blank,Color,0.916666667,531
131,4,1,1,Color,Color,1,634
131,4,1,1,Color,Gray,1,605.5
133,1,2,1,Blank,Gray,1,538
133,1,2,1,Blank,Color,0.916666667,492
133,1,2,1,Color,Color,1,474.5
133,1,2,1,Color,Gray,1,488
135,2,2,1,Blank,Gray,1,953.5
135,2,2,1,Blank,Color,1,1142
135,2,2,1,Color,Color,1,871.5
135,2,2,1,Color,Gray,1,1092
137,3,1,1,Blank,Gray,1,1281.5
